start_time_sec,event_count,segment
0.0,21.0,220323_001_0001_Tr1
60.0,47.0,220323_001_0001_Tr1
120.0,56.0,220323_001_0001_Tr1
180.0,24.0,220323_001_0001_Tr1
240.0,43.0,220323_001_0001_Tr1
300.0,31.0,220323_001_0001_Tr1
360.0,18.0,220323_001_0001_Tr1
420.0,43.0,220323_001_0001_Tr1
480.0,29.0,220323_001_0001_Tr1
540.0,55.0,220323_001_0001_Tr1
600.0,24.0,220323_001_0001_Tr1
660.0,13.0,220323_001_0001_Tr1
720.0,24.0,220323_001_0001_Tr1
780.0,21.0,220323_001_0001_Tr1
840.0,35.0,220323_001_0001_Tr1
900.0,30.0,220323_001_0001_Tr1
960.0,18.0,220323_001_0001_Tr1
1020.0,28.0,220323_001_0001_Tr1
1080.0,18.0,220323_001_0001_Tr1
1140.0,8.0,220323_001_0001_Tr1
1200.0,31.0,220323_001_0001_Tr1
1260.0,25.0,220323_001_0001_Tr1
1320.0,27.0,220323_001_0001_Tr1
1380.0,31.0,220323_001_0001_Tr1
1440.0,32.0,220323_001_0001_Tr1
1500.0,20.0,220323_001_0001_Tr1
1560.0,21.0,220323_001_0001_Tr1
1620.0,20.0,220323_001_0001_Tr1
1680.0,20.0,220323_001_0001_Tr1
1740.0,27.0,220323_001_0001_Tr1
1800.0,19.0,220323_001_0001_Tr1
1860.0,36.0,220323_001_0001_Tr1
1920.0,20.0,220323_001_0001_Tr1
1980.0,24.0,220323_001_0001_Tr1
2040.0,22.0,220323_001_0001_Tr1
2100.0,24.0,220323_001_0001_Tr1
2160.0,16.0,220323_001_0001_Tr1
2220.0,22.0,220323_001_0001_Tr1
2280.0,23.0,220323_001_0001_Tr1
2340.0,30.0,220323_001_0001_Tr1
2400.0,39.0,220323_001_0001_Tr1
2460.0,17.0,220323_001_0001_Tr1
2520.0,23.0,220323_001_0001_Tr1
2580.0,28.0,220323_001_0001_Tr1
2640.0,16.0,220323_001_0001_Tr1
2700.0,23.0,220323_001_0001_Tr1
2760.0,11.0,220323_001_0001_Tr1
2820.0,18.0,220323_001_0001_Tr1
2880.0,17.0,220323_001_0001_Tr1
2940.0,30.0,220323_001_0001_Tr1
3000.0,16.0,220323_001_0001_Tr1
3060.0,30.0,220323_001_0001_Tr1
3120.0,23.0,220323_001_0001_Tr1
3180.0,21.0,220323_001_0001_Tr1
3240.0,28.0,220323_001_0001_Tr1
3300.0,34.0,220323_001_0001_Tr1
3360.0,23.0,220323_001_0001_Tr1
3420.0,16.0,220323_001_0001_Tr1
3480.0,25.0,220323_001_0001_Tr1
3540.0,18.0,220323_001_0001_Tr1
3600.0,27.0,220323_001_0001_Tr1
3660.0,58.0,220323_001_0001_Tr1
3720.0,60.0,220323_001_0001_Tr1
