start_time_sec,event_count,segment
0.0,34.0,240323_001_0001_Tr1
60.0,46.0,240323_001_0001_Tr1
120.0,59.0,240323_001_0001_Tr1
180.0,71.0,240323_001_0001_Tr1
240.0,47.0,240323_001_0001_Tr1
300.0,47.0,240323_001_0001_Tr1
360.0,62.0,240323_001_0001_Tr1
420.0,45.0,240323_001_0001_Tr1
480.0,55.0,240323_001_0001_Tr1
540.0,46.0,240323_001_0001_Tr1
600.0,31.0,240323_001_0001_Tr1
660.0,29.0,240323_001_0001_Tr1
720.0,41.0,240323_001_0001_Tr1
780.0,31.0,240323_001_0001_Tr1
840.0,46.0,240323_001_0001_Tr1
900.0,20.0,240323_001_0001_Tr1
960.0,44.0,240323_001_0001_Tr1
1020.0,47.0,240323_001_0001_Tr1
1080.0,26.0,240323_001_0001_Tr1
1140.0,42.0,240323_001_0001_Tr1
1200.0,36.0,240323_001_0001_Tr1
1260.0,38.0,240323_001_0001_Tr1
1320.0,33.0,240323_001_0001_Tr1
1380.0,41.0,240323_001_0001_Tr1
1440.0,31.0,240323_001_0001_Tr1
1500.0,29.0,240323_001_0001_Tr1
1560.0,30.0,240323_001_0001_Tr1
1620.0,31.0,240323_001_0001_Tr1
1680.0,27.0,240323_001_0001_Tr1
1740.0,44.0,240323_001_0001_Tr1
1800.0,22.0,240323_001_0001_Tr1
1860.0,22.0,240323_001_0001_Tr1
1920.0,21.0,240323_001_0001_Tr1
1980.0,24.0,240323_001_0001_Tr1
2040.0,27.0,240323_001_0001_Tr1
2100.0,29.0,240323_001_0001_Tr1
2160.0,22.0,240323_001_0001_Tr1
2220.0,21.0,240323_001_0001_Tr1
2280.0,25.0,240323_001_0001_Tr1
2340.0,24.0,240323_001_0001_Tr1
2400.0,19.0,240323_001_0001_Tr1
2460.0,31.0,240323_001_0001_Tr1
2520.0,26.0,240323_001_0001_Tr1
2580.0,31.0,240323_001_0001_Tr1
2640.0,21.0,240323_001_0001_Tr1
2700.0,21.0,240323_001_0001_Tr1
2760.0,25.0,240323_001_0001_Tr1
2820.0,27.0,240323_001_0001_Tr1
2880.0,31.0,240323_001_0001_Tr1
2940.0,29.0,240323_001_0001_Tr1
3000.0,21.0,240323_001_0001_Tr1
3060.0,33.0,240323_001_0001_Tr1
3120.0,24.0,240323_001_0001_Tr1
3180.0,29.0,240323_001_0001_Tr1
3240.0,26.0,240323_001_0001_Tr1
3300.0,22.0,240323_001_0001_Tr1
3360.0,27.0,240323_001_0001_Tr1
3420.0,22.0,240323_001_0001_Tr1
3480.0,21.0,240323_001_0001_Tr1
3540.0,24.0,240323_001_0001_Tr1
3600.0,36.0,240323_001_0001_Tr1
3660.0,66.0,240323_001_0001_Tr1
3720.0,39.0,240323_001_0001_Tr1
3780.0,42.0,240323_001_0001_Tr1
3840.0,33.0,240323_001_0001_Tr1
3900.0,34.0,240323_001_0001_Tr1
3960.0,47.0,240323_001_0001_Tr1
4020.0,29.0,240323_001_0001_Tr1
4080.0,40.0,240323_001_0001_Tr1
4140.0,35.0,240323_001_0001_Tr1
4200.0,32.0,240323_001_0001_Tr1
4260.0,27.0,240323_001_0001_Tr1
4320.0,22.0,240323_001_0001_Tr1
4380.0,27.0,240323_001_0001_Tr1
4440.0,23.0,240323_001_0001_Tr1
4500.0,29.0,240323_001_0001_Tr1
4560.0,20.0,240323_001_0001_Tr1
4620.0,35.0,240323_001_0001_Tr1
4680.0,23.0,240323_001_0001_Tr1
4740.0,25.0,240323_001_0001_Tr1
4800.0,18.0,240323_001_0001_Tr1
4860.0,27.0,240323_001_0001_Tr1
4920.0,24.0,240323_001_0001_Tr1
4980.0,34.0,240323_001_0001_Tr1
5040.0,33.0,240323_001_0001_Tr1
5100.0,36.0,240323_001_0001_Tr1
5160.0,19.0,240323_001_0001_Tr1
5220.0,16.0,240323_001_0001_Tr1
5280.0,37.0,240323_001_0001_Tr1
5340.0,19.0,240323_001_0001_Tr1
5400.0,13.0,240323_001_0001_Tr1
5460.0,7.0,240323_001_0001_Tr1
5520.0,15.0,240323_001_0001_Tr1
5580.0,,240323_001_0001_Tr1
5640.0,15.0,240323_001_0002_Tr1
5700.0,40.0,240323_001_0002_Tr1
5760.0,24.0,240323_001_0002_Tr1
5820.0,25.0,240323_001_0002_Tr1
5880.0,26.0,240323_001_0002_Tr1
5940.0,19.0,240323_001_0002_Tr1
6000.0,24.0,240323_001_0002_Tr1
6060.0,33.0,240323_001_0002_Tr1
6120.0,34.0,240323_001_0002_Tr1
6180.0,23.0,240323_001_0002_Tr1
6240.0,13.0,240323_001_0002_Tr1
6300.0,21.0,240323_001_0002_Tr1
6360.0,14.0,240323_001_0002_Tr1
6420.0,19.0,240323_001_0002_Tr1
6480.0,11.0,240323_001_0002_Tr1
6540.0,34.0,240323_001_0002_Tr1
6600.0,12.0,240323_001_0002_Tr1
6660.0,17.0,240323_001_0002_Tr1
6720.0,24.0,240323_001_0002_Tr1
6780.0,19.0,240323_001_0002_Tr1
6840.0,33.0,240323_001_0002_Tr1
6900.0,25.0,240323_001_0002_Tr1
6960.0,25.0,240323_001_0002_Tr1
