start_time_sec,event_count,segment
0.0,681.0,220323_001_0001_Tr1
60.0,543.0,220323_001_0001_Tr1
120.0,571.0,220323_001_0001_Tr1
180.0,615.0,220323_001_0001_Tr1
240.0,618.0,220323_001_0001_Tr1
300.0,672.0,220323_001_0001_Tr1
360.0,629.0,220323_001_0001_Tr1
420.0,603.0,220323_001_0001_Tr1
480.0,616.0,220323_001_0001_Tr1
540.0,642.0,220323_001_0001_Tr1
600.0,674.0,220323_001_0001_Tr1
660.0,609.0,220323_001_0001_Tr1
720.0,672.0,220323_001_0001_Tr1
780.0,667.0,220323_001_0001_Tr1
840.0,602.0,220323_001_0001_Tr1
900.0,641.0,220323_001_0001_Tr1
960.0,645.0,220323_001_0001_Tr1
1020.0,652.0,220323_001_0001_Tr1
1080.0,648.0,220323_001_0001_Tr1
1140.0,633.0,220323_001_0001_Tr1
1200.0,664.0,220323_001_0001_Tr1
1260.0,642.0,220323_001_0001_Tr1
1320.0,640.0,220323_001_0001_Tr1
1380.0,646.0,220323_001_0001_Tr1
1440.0,657.0,220323_001_0001_Tr1
1500.0,666.0,220323_001_0001_Tr1
1560.0,656.0,220323_001_0001_Tr1
1620.0,655.0,220323_001_0001_Tr1
1680.0,657.0,220323_001_0001_Tr1
1740.0,667.0,220323_001_0001_Tr1
1800.0,624.0,220323_001_0001_Tr1
1860.0,654.0,220323_001_0001_Tr1
1920.0,677.0,220323_001_0001_Tr1
1980.0,656.0,220323_001_0001_Tr1
2040.0,643.0,220323_001_0001_Tr1
2100.0,669.0,220323_001_0001_Tr1
2160.0,647.0,220323_001_0001_Tr1
2220.0,642.0,220323_001_0001_Tr1
2280.0,664.0,220323_001_0001_Tr1
2340.0,645.0,220323_001_0001_Tr1
2400.0,652.0,220323_001_0001_Tr1
2460.0,646.0,220323_001_0001_Tr1
2520.0,636.0,220323_001_0001_Tr1
2580.0,675.0,220323_001_0001_Tr1
2640.0,671.0,220323_001_0001_Tr1
2700.0,632.0,220323_001_0001_Tr1
2760.0,646.0,220323_001_0001_Tr1
2820.0,648.0,220323_001_0001_Tr1
2880.0,624.0,220323_001_0001_Tr1
2940.0,654.0,220323_001_0001_Tr1
3000.0,661.0,220323_001_0001_Tr1
3060.0,651.0,220323_001_0001_Tr1
3120.0,699.0,220323_001_0001_Tr1
3180.0,639.0,220323_001_0001_Tr1
3240.0,674.0,220323_001_0001_Tr1
3300.0,679.0,220323_001_0001_Tr1
3360.0,639.0,220323_001_0001_Tr1
3420.0,656.0,220323_001_0001_Tr1
3480.0,669.0,220323_001_0001_Tr1
3540.0,638.0,220323_001_0001_Tr1
3600.0,667.0,220323_001_0001_Tr1
3660.0,601.0,220323_001_0001_Tr1
3720.0,654.0,220323_001_0001_Tr1
3780.0,576.0,220323_001_0001_Tr1
3840.0,625.0,220323_001_0001_Tr1
3900.0,638.0,220323_001_0001_Tr1
3960.0,676.0,220323_001_0001_Tr1
4020.0,620.0,220323_001_0001_Tr1
4080.0,636.0,220323_001_0001_Tr1
4140.0,661.0,220323_001_0001_Tr1
4200.0,624.0,220323_001_0001_Tr1
4260.0,659.0,220323_001_0001_Tr1
4320.0,650.0,220323_001_0001_Tr1
4380.0,663.0,220323_001_0001_Tr1
4440.0,646.0,220323_001_0001_Tr1
4500.0,689.0,220323_001_0001_Tr1
4560.0,662.0,220323_001_0001_Tr1
4620.0,649.0,220323_001_0001_Tr1
4680.0,623.0,220323_001_0001_Tr1
4740.0,646.0,220323_001_0001_Tr1
4800.0,665.0,220323_001_0001_Tr1
4860.0,673.0,220323_001_0001_Tr1
4920.0,665.0,220323_001_0001_Tr1
4980.0,684.0,220323_001_0001_Tr1
5040.0,636.0,220323_001_0001_Tr1
5100.0,683.0,220323_001_0001_Tr1
5160.0,652.0,220323_001_0001_Tr1
5220.0,636.0,220323_001_0001_Tr1
5280.0,652.0,220323_001_0001_Tr1
5340.0,704.0,220323_001_0001_Tr1
5400.0,668.0,220323_001_0001_Tr1
5460.0,658.0,220323_001_0001_Tr1
5520.0,659.0,220323_001_0001_Tr1
5580.0,,220323_001_0001_Tr1
5640.0,638.0,220323_001_0002_Tr1
5700.0,675.0,220323_001_0002_Tr1
5760.0,669.0,220323_001_0002_Tr1
5820.0,627.0,220323_001_0002_Tr1
5880.0,655.0,220323_001_0002_Tr1
5940.0,694.0,220323_001_0002_Tr1
6000.0,677.0,220323_001_0002_Tr1
6060.0,673.0,220323_001_0002_Tr1
6120.0,670.0,220323_001_0002_Tr1
6180.0,674.0,220323_001_0002_Tr1
6240.0,704.0,220323_001_0002_Tr1
6300.0,682.0,220323_001_0002_Tr1
6360.0,691.0,220323_001_0002_Tr1
6420.0,657.0,220323_001_0002_Tr1
6480.0,662.0,220323_001_0002_Tr1
6540.0,674.0,220323_001_0002_Tr1
6600.0,689.0,220323_001_0002_Tr1
6660.0,661.0,220323_001_0002_Tr1
6720.0,705.0,220323_001_0002_Tr1
6780.0,638.0,220323_001_0002_Tr1
6840.0,673.0,220323_001_0002_Tr1
6900.0,699.0,220323_001_0002_Tr1
6960.0,652.0,220323_001_0002_Tr1
7020.0,684.0,220323_001_0002_Tr1
7080.0,663.0,220323_001_0002_Tr1
7140.0,668.0,220323_001_0002_Tr1
7200.0,676.0,220323_001_0002_Tr1
7260.0,674.0,220323_001_0002_Tr1
7320.0,684.0,220323_001_0002_Tr1
7380.0,619.0,220323_001_0002_Tr1
7440.0,641.0,220323_001_0002_Tr1
7500.0,668.0,220323_001_0002_Tr1
7560.0,597.0,220323_001_0002_Tr1
7620.0,646.0,220323_001_0002_Tr1
7680.0,642.0,220323_001_0002_Tr1
7740.0,629.0,220323_001_0002_Tr1
7800.0,626.0,220323_001_0002_Tr1
7860.0,627.0,220323_001_0002_Tr1
7920.0,643.0,220323_001_0002_Tr1
7980.0,704.0,220323_001_0002_Tr1
8040.0,677.0,220323_001_0002_Tr1
8100.0,680.0,220323_001_0002_Tr1
8160.0,658.0,220323_001_0002_Tr1
8220.0,637.0,220323_001_0002_Tr1
8280.0,667.0,220323_001_0002_Tr1
8340.0,675.0,220323_001_0002_Tr1
8400.0,682.0,220323_001_0002_Tr1
8460.0,649.0,220323_001_0002_Tr1
8520.0,675.0,220323_001_0002_Tr1
8580.0,669.0,220323_001_0002_Tr1
8640.0,647.0,220323_001_0002_Tr1
8700.0,659.0,220323_001_0002_Tr1
8760.0,637.0,220323_001_0002_Tr1
8820.0,695.0,220323_001_0002_Tr1
8880.0,738.0,220323_001_0002_Tr1
8940.0,633.0,220323_001_0002_Tr1
9000.0,695.0,220323_001_0002_Tr1
9060.0,697.0,220323_001_0002_Tr1
9120.0,675.0,220323_001_0002_Tr1
9180.0,696.0,220323_001_0002_Tr1
9240.0,670.0,220323_001_0002_Tr1
9300.0,680.0,220323_001_0002_Tr1
9360.0,625.0,220323_001_0002_Tr1
9420.0,660.0,220323_001_0002_Tr1
9480.0,661.0,220323_001_0002_Tr1
9540.0,666.0,220323_001_0002_Tr1
9600.0,687.0,220323_001_0002_Tr1
9660.0,649.0,220323_001_0002_Tr1
9720.0,637.0,220323_001_0002_Tr1
9780.0,698.0,220323_001_0002_Tr1
9840.0,713.0,220323_001_0002_Tr1
9900.0,678.0,220323_001_0002_Tr1
9960.0,715.0,220323_001_0002_Tr1
10020.0,705.0,220323_001_0002_Tr1
10080.0,658.0,220323_001_0002_Tr1
10140.0,645.0,220323_001_0002_Tr1
10200.0,669.0,220323_001_0002_Tr1
10260.0,643.0,220323_001_0002_Tr1
10320.0,666.0,220323_001_0002_Tr1
10380.0,703.0,220323_001_0002_Tr1
10440.0,630.0,220323_001_0002_Tr1
10500.0,686.0,220323_001_0002_Tr1
10560.0,634.0,220323_001_0002_Tr1
10620.0,651.0,220323_001_0002_Tr1
10680.0,710.0,220323_001_0002_Tr1
10740.0,631.0,220323_001_0002_Tr1
10800.0,694.0,220323_001_0002_Tr1
10860.0,631.0,220323_001_0002_Tr1
10920.0,628.0,220323_001_0002_Tr1
10980.0,621.0,220323_001_0002_Tr1
11040.0,620.0,220323_001_0002_Tr1
11100.0,674.0,220323_001_0002_Tr1
