start_time_sec,event_count,segment
0.0,13.0,210323_001_0001_Tr4
60.0,95.0,210323_001_0001_Tr4
120.0,53.0,210323_001_0001_Tr4
180.0,32.0,210323_001_0001_Tr4
240.0,11.0,210323_001_0001_Tr4
300.0,28.0,210323_001_0001_Tr4
360.0,30.0,210323_001_0001_Tr4
420.0,48.0,210323_001_0001_Tr4
480.0,22.0,210323_001_0001_Tr4
540.0,30.0,210323_001_0001_Tr4
600.0,34.0,210323_001_0001_Tr4
660.0,23.0,210323_001_0001_Tr4
720.0,21.0,210323_001_0001_Tr4
780.0,17.0,210323_001_0001_Tr4
840.0,25.0,210323_001_0001_Tr4
900.0,28.0,210323_001_0001_Tr4
960.0,17.0,210323_001_0001_Tr4
1020.0,11.0,210323_001_0001_Tr4
1080.0,8.0,210323_001_0001_Tr4
1140.0,8.0,210323_001_0001_Tr4
1200.0,7.0,210323_001_0001_Tr4
1260.0,10.0,210323_001_0001_Tr4
1320.0,23.0,210323_001_0001_Tr4
1380.0,13.0,210323_001_0001_Tr4
1440.0,6.0,210323_001_0001_Tr4
1500.0,7.0,210323_001_0001_Tr4
1560.0,15.0,210323_001_0001_Tr4
1620.0,7.0,210323_001_0001_Tr4
1680.0,8.0,210323_001_0001_Tr4
1740.0,13.0,210323_001_0001_Tr4
1800.0,10.0,210323_001_0001_Tr4
1860.0,7.0,210323_001_0001_Tr4
1920.0,6.0,210323_001_0001_Tr4
1980.0,5.0,210323_001_0001_Tr4
2040.0,9.0,210323_001_0001_Tr4
2100.0,3.0,210323_001_0001_Tr4
2160.0,9.0,210323_001_0001_Tr4
2220.0,5.0,210323_001_0001_Tr4
2280.0,9.0,210323_001_0001_Tr4
2340.0,3.0,210323_001_0001_Tr4
2400.0,5.0,210323_001_0001_Tr4
2460.0,7.0,210323_001_0001_Tr4
2520.0,6.0,210323_001_0001_Tr4
2580.0,5.0,210323_001_0001_Tr4
2640.0,2.0,210323_001_0001_Tr4
2700.0,6.0,210323_001_0001_Tr4
2760.0,8.0,210323_001_0001_Tr4
2820.0,7.0,210323_001_0001_Tr4
2880.0,8.0,210323_001_0001_Tr4
2940.0,6.0,210323_001_0001_Tr4
3000.0,21.0,210323_001_0001_Tr4
3060.0,7.0,210323_001_0001_Tr4
3120.0,5.0,210323_001_0001_Tr4
3180.0,4.0,210323_001_0001_Tr4
3240.0,8.0,210323_001_0001_Tr4
3300.0,7.0,210323_001_0001_Tr4
3360.0,4.0,210323_001_0001_Tr4
3420.0,2.0,210323_001_0001_Tr4
3480.0,6.0,210323_001_0001_Tr4
3540.0,47.0,210323_001_0001_Tr4
3600.0,44.0,210323_001_0001_Tr4
3660.0,18.0,210323_001_0001_Tr4
3720.0,27.0,210323_001_0001_Tr4
3780.0,11.0,210323_001_0001_Tr4
3840.0,17.0,210323_001_0001_Tr4
3900.0,5.0,210323_001_0001_Tr4
3960.0,8.0,210323_001_0001_Tr4
4020.0,13.0,210323_001_0001_Tr4
4080.0,12.0,210323_001_0001_Tr4
4140.0,15.0,210323_001_0001_Tr4
4200.0,9.0,210323_001_0001_Tr4
4260.0,11.0,210323_001_0001_Tr4
4320.0,12.0,210323_001_0001_Tr4
4380.0,13.0,210323_001_0001_Tr4
4440.0,4.0,210323_001_0001_Tr4
4500.0,13.0,210323_001_0001_Tr4
4560.0,7.0,210323_001_0001_Tr4
4620.0,7.0,210323_001_0001_Tr4
4680.0,9.0,210323_001_0001_Tr4
4740.0,6.0,210323_001_0001_Tr4
4800.0,10.0,210323_001_0001_Tr4
4860.0,7.0,210323_001_0001_Tr4
4920.0,9.0,210323_001_0001_Tr4
4980.0,9.0,210323_001_0001_Tr4
5040.0,7.0,210323_001_0001_Tr4
5100.0,7.0,210323_001_0001_Tr4
5160.0,4.0,210323_001_0001_Tr4
5220.0,4.0,210323_001_0001_Tr4
5280.0,4.0,210323_001_0001_Tr4
5340.0,5.0,210323_001_0001_Tr4
5400.0,4.0,210323_001_0001_Tr4
5460.0,4.0,210323_001_0001_Tr4
5520.0,,210323_001_0001_Tr4
5580.0,7.0,210323_001_0002_Tr4
5640.0,6.0,210323_001_0002_Tr4
5700.0,8.0,210323_001_0002_Tr4
5760.0,4.0,210323_001_0002_Tr4
5820.0,4.0,210323_001_0002_Tr4
5880.0,8.0,210323_001_0002_Tr4
5940.0,6.0,210323_001_0002_Tr4
6000.0,11.0,210323_001_0002_Tr4
6060.0,13.0,210323_001_0002_Tr4
6120.0,12.0,210323_001_0002_Tr4
6180.0,9.0,210323_001_0002_Tr4
6240.0,13.0,210323_001_0002_Tr4
6300.0,8.0,210323_001_0002_Tr4
6360.0,13.0,210323_001_0002_Tr4
6420.0,5.0,210323_001_0002_Tr4
6480.0,11.0,210323_001_0002_Tr4
6540.0,9.0,210323_001_0002_Tr4
6600.0,10.0,210323_001_0002_Tr4
6660.0,3.0,210323_001_0002_Tr4
6720.0,7.0,210323_001_0002_Tr4
6780.0,6.0,210323_001_0002_Tr4
6840.0,6.0,210323_001_0002_Tr4
6900.0,10.0,210323_001_0002_Tr4
6960.0,7.0,210323_001_0002_Tr4
7020.0,18.0,210323_001_0002_Tr4
7080.0,8.0,210323_001_0002_Tr4
7140.0,68.0,210323_001_0002_Tr4
7200.0,70.0,210323_001_0002_Tr4
7260.0,29.0,210323_001_0002_Tr4
7320.0,41.0,210323_001_0002_Tr4
7380.0,12.0,210323_001_0002_Tr4
7440.0,21.0,210323_001_0002_Tr4
7500.0,19.0,210323_001_0002_Tr4
7560.0,20.0,210323_001_0002_Tr4
7620.0,13.0,210323_001_0002_Tr4
7680.0,18.0,210323_001_0002_Tr4
7740.0,12.0,210323_001_0002_Tr4
7800.0,9.0,210323_001_0002_Tr4
7860.0,16.0,210323_001_0002_Tr4
7920.0,5.0,210323_001_0002_Tr4
7980.0,3.0,210323_001_0002_Tr4
8040.0,14.0,210323_001_0002_Tr4
8100.0,9.0,210323_001_0002_Tr4
8160.0,10.0,210323_001_0002_Tr4
8220.0,8.0,210323_001_0002_Tr4
8280.0,11.0,210323_001_0002_Tr4
8340.0,5.0,210323_001_0002_Tr4
8400.0,16.0,210323_001_0002_Tr4
8460.0,9.0,210323_001_0002_Tr4
8520.0,12.0,210323_001_0002_Tr4
8580.0,10.0,210323_001_0002_Tr4
8640.0,10.0,210323_001_0002_Tr4
8700.0,12.0,210323_001_0002_Tr4
8760.0,13.0,210323_001_0002_Tr4
8820.0,17.0,210323_001_0002_Tr4
8880.0,8.0,210323_001_0002_Tr4
8940.0,14.0,210323_001_0002_Tr4
9000.0,15.0,210323_001_0002_Tr4
9060.0,12.0,210323_001_0002_Tr4
9120.0,18.0,210323_001_0002_Tr4
9180.0,7.0,210323_001_0002_Tr4
9240.0,12.0,210323_001_0002_Tr4
9300.0,9.0,210323_001_0002_Tr4
9360.0,14.0,210323_001_0002_Tr4
9420.0,15.0,210323_001_0002_Tr4
9480.0,15.0,210323_001_0002_Tr4
9540.0,10.0,210323_001_0002_Tr4
9600.0,16.0,210323_001_0002_Tr4
9660.0,8.0,210323_001_0002_Tr4
9720.0,18.0,210323_001_0002_Tr4
9780.0,8.0,210323_001_0002_Tr4
9840.0,13.0,210323_001_0002_Tr4
9900.0,7.0,210323_001_0002_Tr4
9960.0,11.0,210323_001_0002_Tr4
10020.0,4.0,210323_001_0002_Tr4
10080.0,15.0,210323_001_0002_Tr4
10140.0,8.0,210323_001_0002_Tr4
10200.0,12.0,210323_001_0002_Tr4
10260.0,11.0,210323_001_0002_Tr4
10320.0,6.0,210323_001_0002_Tr4
10380.0,7.0,210323_001_0002_Tr4
10440.0,15.0,210323_001_0002_Tr4
10500.0,13.0,210323_001_0002_Tr4
10560.0,11.0,210323_001_0002_Tr4
10620.0,42.0,210323_001_0002_Tr4
10680.0,42.0,210323_001_0002_Tr4
10740.0,23.0,210323_001_0002_Tr4
10800.0,29.0,210323_001_0002_Tr4
10860.0,35.0,210323_001_0002_Tr4
10920.0,19.0,210323_001_0002_Tr4
10980.0,22.0,210323_001_0002_Tr4
11040.0,17.0,210323_001_0002_Tr4
11100.0,22.0,210323_001_0002_Tr4
11160.0,,210323_001_0002_Tr4
11220.0,9.0,210323_001_0003_Tr4
11280.0,18.0,210323_001_0003_Tr4
11340.0,11.0,210323_001_0003_Tr4
11400.0,14.0,210323_001_0003_Tr4
11460.0,11.0,210323_001_0003_Tr4
11520.0,10.0,210323_001_0003_Tr4
11580.0,14.0,210323_001_0003_Tr4
11640.0,13.0,210323_001_0003_Tr4
11700.0,3.0,210323_001_0003_Tr4
11760.0,8.0,210323_001_0003_Tr4
11820.0,5.0,210323_001_0003_Tr4
11880.0,12.0,210323_001_0003_Tr4
11940.0,4.0,210323_001_0003_Tr4
12000.0,4.0,210323_001_0003_Tr4
12060.0,13.0,210323_001_0003_Tr4
12120.0,7.0,210323_001_0003_Tr4
12180.0,15.0,210323_001_0003_Tr4
12240.0,7.0,210323_001_0003_Tr4
12300.0,10.0,210323_001_0003_Tr4
12360.0,5.0,210323_001_0003_Tr4
12420.0,13.0,210323_001_0003_Tr4
12480.0,11.0,210323_001_0003_Tr4
12540.0,10.0,210323_001_0003_Tr4
12600.0,5.0,210323_001_0003_Tr4
12660.0,10.0,210323_001_0003_Tr4
12720.0,6.0,210323_001_0003_Tr4
12780.0,2.0,210323_001_0003_Tr4
12840.0,9.0,210323_001_0003_Tr4
12900.0,9.0,210323_001_0003_Tr4
12960.0,8.0,210323_001_0003_Tr4
13020.0,13.0,210323_001_0003_Tr4
13080.0,13.0,210323_001_0003_Tr4
13140.0,13.0,210323_001_0003_Tr4
13200.0,9.0,210323_001_0003_Tr4
13260.0,12.0,210323_001_0003_Tr4
13320.0,7.0,210323_001_0003_Tr4
13380.0,9.0,210323_001_0003_Tr4
13440.0,9.0,210323_001_0003_Tr4
13500.0,11.0,210323_001_0003_Tr4
13560.0,14.0,210323_001_0003_Tr4
13620.0,8.0,210323_001_0003_Tr4
13680.0,8.0,210323_001_0003_Tr4
13740.0,7.0,210323_001_0003_Tr4
13800.0,9.0,210323_001_0003_Tr4
13860.0,8.0,210323_001_0003_Tr4
13920.0,9.0,210323_001_0003_Tr4
13980.0,6.0,210323_001_0003_Tr4
14040.0,15.0,210323_001_0003_Tr4
14100.0,6.0,210323_001_0003_Tr4
14160.0,7.0,210323_001_0003_Tr4
14220.0,11.0,210323_001_0003_Tr4
14280.0,5.0,210323_001_0003_Tr4
14340.0,13.0,210323_001_0003_Tr4
14400.0,29.0,210323_001_0003_Tr4
14460.0,70.0,210323_001_0003_Tr4
14520.0,53.0,210323_001_0003_Tr4
14580.0,41.0,210323_001_0003_Tr4
14640.0,33.0,210323_001_0003_Tr4
14700.0,28.0,210323_001_0003_Tr4
14760.0,37.0,210323_001_0003_Tr4
14820.0,19.0,210323_001_0003_Tr4
14880.0,25.0,210323_001_0003_Tr4
14940.0,28.0,210323_001_0003_Tr4
15000.0,21.0,210323_001_0003_Tr4
15060.0,14.0,210323_001_0003_Tr4
15120.0,25.0,210323_001_0003_Tr4
15180.0,13.0,210323_001_0003_Tr4
15240.0,21.0,210323_001_0003_Tr4
15300.0,15.0,210323_001_0003_Tr4
15360.0,11.0,210323_001_0003_Tr4
15420.0,9.0,210323_001_0003_Tr4
15480.0,20.0,210323_001_0003_Tr4
15540.0,15.0,210323_001_0003_Tr4
15600.0,9.0,210323_001_0003_Tr4
15660.0,15.0,210323_001_0003_Tr4
15720.0,16.0,210323_001_0003_Tr4
15780.0,15.0,210323_001_0003_Tr4
15840.0,11.0,210323_001_0003_Tr4
15900.0,18.0,210323_001_0003_Tr4
15960.0,17.0,210323_001_0003_Tr4
16020.0,10.0,210323_001_0003_Tr4
16080.0,14.0,210323_001_0003_Tr4
16140.0,14.0,210323_001_0003_Tr4
16200.0,11.0,210323_001_0003_Tr4
16260.0,11.0,210323_001_0003_Tr4
16320.0,10.0,210323_001_0003_Tr4
16380.0,13.0,210323_001_0003_Tr4
16440.0,18.0,210323_001_0003_Tr4
16500.0,19.0,210323_001_0003_Tr4
16560.0,12.0,210323_001_0003_Tr4
16620.0,12.0,210323_001_0003_Tr4
16680.0,13.0,210323_001_0003_Tr4
16740.0,15.0,210323_001_0003_Tr4
16800.0,,210323_001_0003_Tr4
16860.0,14.0,210323_001_0004_Tr4
16920.0,8.0,210323_001_0004_Tr4
16980.0,7.0,210323_001_0004_Tr4
17040.0,13.0,210323_001_0004_Tr4
17100.0,10.0,210323_001_0004_Tr4
17160.0,11.0,210323_001_0004_Tr4
17220.0,12.0,210323_001_0004_Tr4
17280.0,13.0,210323_001_0004_Tr4
17340.0,15.0,210323_001_0004_Tr4
17400.0,8.0,210323_001_0004_Tr4
17460.0,9.0,210323_001_0004_Tr4
17520.0,11.0,210323_001_0004_Tr4
17580.0,7.0,210323_001_0004_Tr4
17640.0,13.0,210323_001_0004_Tr4
17700.0,9.0,210323_001_0004_Tr4
17760.0,8.0,210323_001_0004_Tr4
17820.0,15.0,210323_001_0004_Tr4
17880.0,9.0,210323_001_0004_Tr4
17940.0,26.0,210323_001_0004_Tr4
18000.0,57.0,210323_001_0004_Tr4
18060.0,29.0,210323_001_0004_Tr4
18120.0,34.0,210323_001_0004_Tr4
18180.0,18.0,210323_001_0004_Tr4
18240.0,18.0,210323_001_0004_Tr4
18300.0,19.0,210323_001_0004_Tr4
18360.0,12.0,210323_001_0004_Tr4
18420.0,15.0,210323_001_0004_Tr4
18480.0,10.0,210323_001_0004_Tr4
18540.0,16.0,210323_001_0004_Tr4
18600.0,16.0,210323_001_0004_Tr4
18660.0,11.0,210323_001_0004_Tr4
18720.0,6.0,210323_001_0004_Tr4
18780.0,13.0,210323_001_0004_Tr4
18840.0,12.0,210323_001_0004_Tr4
18900.0,12.0,210323_001_0004_Tr4
18960.0,5.0,210323_001_0004_Tr4
19020.0,8.0,210323_001_0004_Tr4
19080.0,6.0,210323_001_0004_Tr4
19140.0,7.0,210323_001_0004_Tr4
19200.0,11.0,210323_001_0004_Tr4
19260.0,8.0,210323_001_0004_Tr4
19320.0,9.0,210323_001_0004_Tr4
19380.0,9.0,210323_001_0004_Tr4
19440.0,8.0,210323_001_0004_Tr4
19500.0,5.0,210323_001_0004_Tr4
19560.0,9.0,210323_001_0004_Tr4
19620.0,10.0,210323_001_0004_Tr4
19680.0,7.0,210323_001_0004_Tr4
19740.0,16.0,210323_001_0004_Tr4
19800.0,10.0,210323_001_0004_Tr4
19860.0,4.0,210323_001_0004_Tr4
19920.0,10.0,210323_001_0004_Tr4
19980.0,9.0,210323_001_0004_Tr4
20040.0,14.0,210323_001_0004_Tr4
20100.0,14.0,210323_001_0004_Tr4
20160.0,11.0,210323_001_0004_Tr4
20220.0,10.0,210323_001_0004_Tr4
20280.0,11.0,210323_001_0004_Tr4
20340.0,8.0,210323_001_0004_Tr4
20400.0,12.0,210323_001_0004_Tr4
20460.0,7.0,210323_001_0004_Tr4
20520.0,11.0,210323_001_0004_Tr4
20580.0,18.0,210323_001_0004_Tr4
20640.0,11.0,210323_001_0004_Tr4
20700.0,10.0,210323_001_0004_Tr4
20760.0,8.0,210323_001_0004_Tr4
20820.0,10.0,210323_001_0004_Tr4
20880.0,9.0,210323_001_0004_Tr4
20940.0,8.0,210323_001_0004_Tr4
21000.0,11.0,210323_001_0004_Tr4
21060.0,12.0,210323_001_0004_Tr4
21120.0,15.0,210323_001_0004_Tr4
21180.0,14.0,210323_001_0004_Tr4
21240.0,12.0,210323_001_0004_Tr4
21300.0,8.0,210323_001_0004_Tr4
21360.0,9.0,210323_001_0004_Tr4
21420.0,12.0,210323_001_0004_Tr4
21480.0,13.0,210323_001_0004_Tr4
21540.0,65.0,210323_001_0004_Tr4
21600.0,54.0,210323_001_0004_Tr4
21660.0,38.0,210323_001_0004_Tr4
21720.0,35.0,210323_001_0004_Tr4
21780.0,23.0,210323_001_0004_Tr4
21840.0,12.0,210323_001_0004_Tr4
21900.0,10.0,210323_001_0004_Tr4
21960.0,8.0,210323_001_0004_Tr4
22020.0,8.0,210323_001_0004_Tr4
22080.0,15.0,210323_001_0004_Tr4
22140.0,11.0,210323_001_0004_Tr4
22200.0,14.0,210323_001_0004_Tr4
22260.0,8.0,210323_001_0004_Tr4
22320.0,7.0,210323_001_0004_Tr4
22380.0,6.0,210323_001_0004_Tr4
22440.0,,210323_001_0004_Tr4
22500.0,6.0,210323_001_0005_Tr4
22560.0,8.0,210323_001_0005_Tr4
22620.0,11.0,210323_001_0005_Tr4
22680.0,14.0,210323_001_0005_Tr4
22740.0,10.0,210323_001_0005_Tr4
22800.0,14.0,210323_001_0005_Tr4
22860.0,11.0,210323_001_0005_Tr4
22920.0,6.0,210323_001_0005_Tr4
22980.0,6.0,210323_001_0005_Tr4
23040.0,16.0,210323_001_0005_Tr4
23100.0,18.0,210323_001_0005_Tr4
23160.0,11.0,210323_001_0005_Tr4
23220.0,11.0,210323_001_0005_Tr4
23280.0,10.0,210323_001_0005_Tr4
23340.0,11.0,210323_001_0005_Tr4
23400.0,12.0,210323_001_0005_Tr4
23460.0,13.0,210323_001_0005_Tr4
23520.0,8.0,210323_001_0005_Tr4
23580.0,16.0,210323_001_0005_Tr4
23640.0,16.0,210323_001_0005_Tr4
23700.0,16.0,210323_001_0005_Tr4
23760.0,16.0,210323_001_0005_Tr4
23820.0,6.0,210323_001_0005_Tr4
23880.0,15.0,210323_001_0005_Tr4
23940.0,15.0,210323_001_0005_Tr4
24000.0,12.0,210323_001_0005_Tr4
24060.0,9.0,210323_001_0005_Tr4
24120.0,21.0,210323_001_0005_Tr4
24180.0,8.0,210323_001_0005_Tr4
24240.0,20.0,210323_001_0005_Tr4
24300.0,20.0,210323_001_0005_Tr4
24360.0,12.0,210323_001_0005_Tr4
24420.0,15.0,210323_001_0005_Tr4
24480.0,12.0,210323_001_0005_Tr4
24540.0,14.0,210323_001_0005_Tr4
24600.0,10.0,210323_001_0005_Tr4
24660.0,14.0,210323_001_0005_Tr4
24720.0,17.0,210323_001_0005_Tr4
24780.0,19.0,210323_001_0005_Tr4
24840.0,20.0,210323_001_0005_Tr4
24900.0,10.0,210323_001_0005_Tr4
24960.0,10.0,210323_001_0005_Tr4
25020.0,13.0,210323_001_0005_Tr4
25080.0,9.0,210323_001_0005_Tr4
25140.0,9.0,210323_001_0005_Tr4
25200.0,23.0,210323_001_0005_Tr4
25260.0,45.0,210323_001_0005_Tr4
25320.0,89.0,210323_001_0005_Tr4
25380.0,41.0,210323_001_0005_Tr4
25440.0,22.0,210323_001_0005_Tr4
25500.0,30.0,210323_001_0005_Tr4
25560.0,21.0,210323_001_0005_Tr4
25620.0,21.0,210323_001_0005_Tr4
25680.0,18.0,210323_001_0005_Tr4
25740.0,13.0,210323_001_0005_Tr4
25800.0,17.0,210323_001_0005_Tr4
25860.0,16.0,210323_001_0005_Tr4
25920.0,11.0,210323_001_0005_Tr4
25980.0,18.0,210323_001_0005_Tr4
26040.0,10.0,210323_001_0005_Tr4
26100.0,14.0,210323_001_0005_Tr4
26160.0,13.0,210323_001_0005_Tr4
26220.0,13.0,210323_001_0005_Tr4
26280.0,12.0,210323_001_0005_Tr4
26340.0,7.0,210323_001_0005_Tr4
26400.0,14.0,210323_001_0005_Tr4
26460.0,20.0,210323_001_0005_Tr4
26520.0,5.0,210323_001_0005_Tr4
26580.0,11.0,210323_001_0005_Tr4
26640.0,21.0,210323_001_0005_Tr4
26700.0,9.0,210323_001_0005_Tr4
26760.0,15.0,210323_001_0005_Tr4
26820.0,18.0,210323_001_0005_Tr4
26880.0,14.0,210323_001_0005_Tr4
26940.0,21.0,210323_001_0005_Tr4
27000.0,19.0,210323_001_0005_Tr4
27060.0,10.0,210323_001_0005_Tr4
27120.0,18.0,210323_001_0005_Tr4
27180.0,6.0,210323_001_0005_Tr4
27240.0,14.0,210323_001_0005_Tr4
27300.0,26.0,210323_001_0005_Tr4
27360.0,13.0,210323_001_0005_Tr4
27420.0,21.0,210323_001_0005_Tr4
27480.0,26.0,210323_001_0005_Tr4
27540.0,18.0,210323_001_0005_Tr4
