start_time_sec,event_count,segment
0.0,575.0,210323_001_0001_Tr4
60.0,532.0,210323_001_0001_Tr4
120.0,558.0,210323_001_0001_Tr4
180.0,589.0,210323_001_0001_Tr4
240.0,573.0,210323_001_0001_Tr4
300.0,542.0,210323_001_0001_Tr4
360.0,563.0,210323_001_0001_Tr4
420.0,590.0,210323_001_0001_Tr4
480.0,586.0,210323_001_0001_Tr4
540.0,562.0,210323_001_0001_Tr4
600.0,572.0,210323_001_0001_Tr4
660.0,529.0,210323_001_0001_Tr4
720.0,590.0,210323_001_0001_Tr4
780.0,565.0,210323_001_0001_Tr4
840.0,582.0,210323_001_0001_Tr4
900.0,570.0,210323_001_0001_Tr4
960.0,594.0,210323_001_0001_Tr4
1020.0,573.0,210323_001_0001_Tr4
1080.0,586.0,210323_001_0001_Tr4
1140.0,547.0,210323_001_0001_Tr4
1200.0,581.0,210323_001_0001_Tr4
1260.0,568.0,210323_001_0001_Tr4
1320.0,544.0,210323_001_0001_Tr4
1380.0,559.0,210323_001_0001_Tr4
1440.0,620.0,210323_001_0001_Tr4
1500.0,610.0,210323_001_0001_Tr4
1560.0,558.0,210323_001_0001_Tr4
1620.0,562.0,210323_001_0001_Tr4
1680.0,553.0,210323_001_0001_Tr4
1740.0,560.0,210323_001_0001_Tr4
1800.0,572.0,210323_001_0001_Tr4
1860.0,579.0,210323_001_0001_Tr4
1920.0,568.0,210323_001_0001_Tr4
1980.0,592.0,210323_001_0001_Tr4
2040.0,605.0,210323_001_0001_Tr4
2100.0,587.0,210323_001_0001_Tr4
2160.0,579.0,210323_001_0001_Tr4
2220.0,563.0,210323_001_0001_Tr4
2280.0,591.0,210323_001_0001_Tr4
2340.0,632.0,210323_001_0001_Tr4
2400.0,572.0,210323_001_0001_Tr4
2460.0,544.0,210323_001_0001_Tr4
2520.0,582.0,210323_001_0001_Tr4
2580.0,555.0,210323_001_0001_Tr4
2640.0,566.0,210323_001_0001_Tr4
2700.0,604.0,210323_001_0001_Tr4
2760.0,599.0,210323_001_0001_Tr4
2820.0,597.0,210323_001_0001_Tr4
2880.0,596.0,210323_001_0001_Tr4
2940.0,604.0,210323_001_0001_Tr4
3000.0,537.0,210323_001_0001_Tr4
3060.0,552.0,210323_001_0001_Tr4
3120.0,571.0,210323_001_0001_Tr4
3180.0,553.0,210323_001_0001_Tr4
3240.0,595.0,210323_001_0001_Tr4
3300.0,550.0,210323_001_0001_Tr4
3360.0,546.0,210323_001_0001_Tr4
3420.0,612.0,210323_001_0001_Tr4
3480.0,606.0,210323_001_0001_Tr4
3540.0,535.0,210323_001_0001_Tr4
3600.0,523.0,210323_001_0001_Tr4
3660.0,591.0,210323_001_0001_Tr4
3720.0,505.0,210323_001_0001_Tr4
3780.0,540.0,210323_001_0001_Tr4
3840.0,607.0,210323_001_0001_Tr4
3900.0,574.0,210323_001_0001_Tr4
3960.0,550.0,210323_001_0001_Tr4
4020.0,596.0,210323_001_0001_Tr4
4080.0,600.0,210323_001_0001_Tr4
4140.0,591.0,210323_001_0001_Tr4
4200.0,599.0,210323_001_0001_Tr4
4260.0,584.0,210323_001_0001_Tr4
4320.0,526.0,210323_001_0001_Tr4
4380.0,545.0,210323_001_0001_Tr4
4440.0,610.0,210323_001_0001_Tr4
4500.0,600.0,210323_001_0001_Tr4
4560.0,583.0,210323_001_0001_Tr4
4620.0,590.0,210323_001_0001_Tr4
4680.0,572.0,210323_001_0001_Tr4
4740.0,565.0,210323_001_0001_Tr4
4800.0,570.0,210323_001_0001_Tr4
4860.0,561.0,210323_001_0001_Tr4
4920.0,586.0,210323_001_0001_Tr4
4980.0,583.0,210323_001_0001_Tr4
5040.0,612.0,210323_001_0001_Tr4
5100.0,573.0,210323_001_0001_Tr4
5160.0,582.0,210323_001_0001_Tr4
5220.0,579.0,210323_001_0001_Tr4
5280.0,634.0,210323_001_0001_Tr4
5340.0,598.0,210323_001_0001_Tr4
5400.0,564.0,210323_001_0001_Tr4
5460.0,603.0,210323_001_0001_Tr4
5520.0,588.0,210323_001_0001_Tr4
5580.0,,210323_001_0001_Tr4
5640.0,599.0,210323_001_0002_Tr4
5700.0,587.0,210323_001_0002_Tr4
5760.0,628.0,210323_001_0002_Tr4
5820.0,578.0,210323_001_0002_Tr4
5880.0,574.0,210323_001_0002_Tr4
5940.0,551.0,210323_001_0002_Tr4
6000.0,598.0,210323_001_0002_Tr4
6060.0,601.0,210323_001_0002_Tr4
6120.0,543.0,210323_001_0002_Tr4
6180.0,558.0,210323_001_0002_Tr4
6240.0,585.0,210323_001_0002_Tr4
6300.0,569.0,210323_001_0002_Tr4
6360.0,559.0,210323_001_0002_Tr4
6420.0,592.0,210323_001_0002_Tr4
6480.0,575.0,210323_001_0002_Tr4
6540.0,567.0,210323_001_0002_Tr4
6600.0,592.0,210323_001_0002_Tr4
6660.0,620.0,210323_001_0002_Tr4
6720.0,586.0,210323_001_0002_Tr4
6780.0,602.0,210323_001_0002_Tr4
6840.0,551.0,210323_001_0002_Tr4
6900.0,593.0,210323_001_0002_Tr4
6960.0,545.0,210323_001_0002_Tr4
7020.0,598.0,210323_001_0002_Tr4
7080.0,618.0,210323_001_0002_Tr4
7140.0,567.0,210323_001_0002_Tr4
7200.0,537.0,210323_001_0002_Tr4
7260.0,570.0,210323_001_0002_Tr4
7320.0,532.0,210323_001_0002_Tr4
7380.0,547.0,210323_001_0002_Tr4
7440.0,603.0,210323_001_0002_Tr4
7500.0,597.0,210323_001_0002_Tr4
7560.0,569.0,210323_001_0002_Tr4
7620.0,569.0,210323_001_0002_Tr4
7680.0,591.0,210323_001_0002_Tr4
7740.0,618.0,210323_001_0002_Tr4
7800.0,590.0,210323_001_0002_Tr4
7860.0,580.0,210323_001_0002_Tr4
7920.0,604.0,210323_001_0002_Tr4
7980.0,554.0,210323_001_0002_Tr4
8040.0,577.0,210323_001_0002_Tr4
8100.0,606.0,210323_001_0002_Tr4
8160.0,574.0,210323_001_0002_Tr4
8220.0,637.0,210323_001_0002_Tr4
8280.0,572.0,210323_001_0002_Tr4
8340.0,601.0,210323_001_0002_Tr4
8400.0,595.0,210323_001_0002_Tr4
8460.0,524.0,210323_001_0002_Tr4
8520.0,591.0,210323_001_0002_Tr4
8580.0,566.0,210323_001_0002_Tr4
8640.0,624.0,210323_001_0002_Tr4
8700.0,567.0,210323_001_0002_Tr4
8760.0,614.0,210323_001_0002_Tr4
8820.0,615.0,210323_001_0002_Tr4
